1082「學分學程(在學)」修習人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
,企業管理,財務金融,會計,企業資源規劃,地球科學資訊,環境地球科學,藝術史,文化研究,天文,財務工程,英文MBA,創意,電子商務(EC),華語文教學,世界文明史,綠色企業管理,創意與創業,統計,氣候變遷調適,商業智慧與分析,認知神經科學,巨量資料分析,社會企業,跨領域社會參與,人工智慧與資訊安全,敘事與數位實踐,太空科技與工程,國際事務,人工智慧跨域應用,積體電路與半導體國際,人工智慧國際,系(所)總合
中國文學系,4,1,3,1,,,9,,,,,2,2,8,,,,,,,1,,,,,1,,1,1,,,34
英美語文學系,5,16,3,3,,,1,,,,,,7,3,,,1,,,,,,,1,,,,,,,,40
法國語文學系,6,16,4,3,,,15,,,,,2,5,6,,,,,,,,,,2,,,,,,,,59
法國語文學系碩士班,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1
數學系,,5,2,,,,,,,,,,,,,,,3,,,1,,,,3,,,,,,,14
物理學系,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2
化學學系,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,3
光電科學與工程學系,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
理學院學士班,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2
統計研究所碩士班,,,,,,,,,,4,,,,,,,,,,,,9,,,,,,,,,,13
土木工程學系,1,,,,,,,,,,,1,,,,,2,,,,,,,2,,,,,2,,,8
機械工程學系,,1,,,,,,,,,,,,,,,2,,,3,,,,4,,,,,,,,10
工學院學士班,,1,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,47
土木工程學系碩士班,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1
化學工程與材料工程學系博士班,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
企業管理學系,,22,31,74,,,1,,,,,,23,,,,2,2,,17,,,,2,,,,,,,,174
資訊管理學系,,10,8,26,,,1,,,,,,26,1,,,3,,,3,,1,,5,2,1,,,,,,87
財務金融學系,,,40,3,,,,,,,,,5,,,,,,,3,,,,,,,,,,,,51
經濟學系,,26,29,5,,,1,,,2,,,3,1,,,3,2,,4,,,,1,,,,,,,,77
企業管理學系碩士班,,,,49,,,,,,,3,,,,,,,,,11,,,,,,,,,,,,63
資訊管理學系碩士班,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
產業經濟研究所碩士班,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2
工業管理研究所碩士班,,,,16,,,,,,,,,,,,,,,,1,,,,,,,,,,,,17
財務金融學系碩士班,,,,,,,,,,10,,,,,,,,,,2,,,,,,,,,,,,12
經濟學系碩士班,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,5
會計研究所碩士班,,,,16,,,,,,,,,,,,,,,,1,,,,,,,,,,,,17
工業管理研究所碩士在職專班,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
企業管理學系博士班,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1
電機工程學系,,,1,,,,,,1,,,,1,,,,4,,,,,,,3,1,,,,,,,11
資訊工程學系,,3,,,,,,,,,,,,1,,,2,,,,,1,,3,2,,,,,,,12
通訊工程學系,,,,,,,,,2,,,,,,,,3,,,,,,,3,1,,,,,,,9
資訊電機學院學士班,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,42
通訊工程學系博士班,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
大氣科學學系,,,,,37,18,1,,8,,,,,,,,,,57,,,,,3,,,17,,,,,141
地球科學學系,,,,,38,18,,,1,,,,,,,,,,13,,,,,2,,,,,,,,72
地球科學學院學士班,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1
客家語文暨社會科學學系,1,,,,,,,,,,,,,2,1,,,,,,,,2,3,,,,,,,,9
法律與政府研究所碩士班,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
客家語文暨社會科學學系客家政治經濟碩士班,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
生命科學系,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2
生醫科學與工程學系,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2
總合,18,102,124,222,75,36,31,,14,16,3,5,72,23,1,,64,7,70,53,2,11,2,83,10,2,18,1,4,,,1069
