112學年度第二學期「學分學程」取得人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41
,企業管理,財務金融,會計,企業資源規劃,地球科學資訊,環境地球科學,文化研究,天文,財務工程,英文MBA,創意,電子商務(EC),華語文教學,永續企業管理(原綠色企業管理),創意與創業,統計,氣候與環境變遷,商業智慧與分析,認知神經科學,巨量資料分析,社會企業,跨領域社會參與,人工智慧與資訊安全,敘事與數位實踐,太空科技與工程,國際事務,人工智慧跨域應用(理),人工智慧跨域應用(文),積體電路與半導體國際,人工智慧國際,金融科技,跨領域榮譽學分學程,社會企業與社會創新,量子技術,智慧製造,影響力衡量與管理,生科職涯,菁英領導 elite,法律與政治,法律,系(所)總合
中國文學系,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2
英美語文學系,3,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,6
法國語文學系,1,,,,,,,,,,,,1,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,5
文學院學士班,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,2
數學系,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,1,,,,,,,3
光電科學與工程學系,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1
理學院學士班,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1
統計研究所碩士班,,,,,,,,,7,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,8
土木工程學系,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,10
機械工程學系,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,9
工學院學士班,,,,,,,,,,,,,,,,,,,,,,17,,,,,1,,,,,,,,,,,,,,18
企業管理學系,,1,4,16,,,,,,,,1,,,,,,2,,,,,,,,1,,3,,,,,,,,1,,,,,29
資訊管理學系,,,,7,,,,,,,,7,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,16
財務金融學系,,,13,,1,,,,,,,,,,,,,,,,,1,,1,,,,6,,,,,,,,,,,,,22
經濟學系,,1,7,,,,,,,,,,,,,,,4,,,,,,,,,,1,,,,,,,,,,,,,13
企業管理學系碩士班,,,,11,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,14
會計研究所碩士班,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
國際經營管理碩士學位學程,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
工業管理研究所碩士在職專班,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
電機工程學系,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,3
資訊工程學系,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,2
資訊電機學院學士班,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,23
大氣科學學系,,,,,2,3,,,,,,,,,,,14,,,,,,,,,,5,,,,,,,,,,,,,,24
地球科學學系,,,,,22,1,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,25
地球科學學院學士班,,,,,,1,,,,,,,,,,,,,,,,5,,,,,1,,,,,,,,,,,,,,7
太空科學與工程學系,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,4
客家語文暨社會科學學系,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,2
生命科學系,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2,,,,4
生醫科學與工程學系,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,9
總合,4,2,25,41,25,5,,,7,,,8,3,,23,1,16,11,,1,,25,,2,,4,47,14,,,,1,,1,,1,2,,,,269
