1081「雙主修(在學)」修習人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
             雙主修           主系,中文,英文,法文,數學,物理,化學,光電,理院學士班,土木,機械,化材,工院學士班,企管,資管,財金,經濟,電機,資工,通訊,資電學士班,大科,地科,地科學士班,客社,生科,生醫,系(所)總合
中國文學系,,,,,,,,,,,,,,,1,8,,,,,,,,,,,9
英美語文學系,1,,,,,,,,,,,,1,,2,13,,,,,,,,,,,17
法國語文學系,,,,,,,,,,,,,,1,4,10,,,,,,,,,,,15
數學系,,,,,1,,,,,,,,,,1,3,,13,,,,,,,,,18
物理學系,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
光電科學與工程學系,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
土木工程學系,,,,,,,,,,1,1,,,,,,2,,,,,,,,,1,5
機械工程學系,,,,,,,1,,,,,,,,,,6,1,,,,,,,,,8
化學工程與材料工程學系,,,,,,,,,,,1,,,,,,,,,,,,,,,,1
企業管理學系,,1,1,,,,,,,1,,,,10,24,2,,1,,,,,,,1,,41
資訊管理學系,,,,,,,,,,,,,,,6,1,,17,,,,,,,,1,25
財務金融學系,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,3
經濟學系,,,,2,,,,,,,,,,4,6,4,,,1,,,,,1,,1,19
電機工程學系,,,,,,,,,,,,,,,,,1,1,,,,,,,,,2
資訊工程學系,,,1,,,,,,,,,,,,1,,,1,,,,,,,,,3
大氣科學學系,,,,1,,,,,,,,,,,,,1,,,,2,,,,,,4
地球科學學系,,,,,,,,,,,,,,,,,,1,,,2,,,,,,3
客家語文暨社會科學學系,,,,,,,,,,,,,,,,2,,,,,,,,,,,2
總合,1,1,2,4,1,,1,,,2,2,,1,16,46,43,11,35,1,,4,,,1,1,4,177
