1092「學分學程(在學)」修習人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
,企業管理,財務金融,會計,企業資源規劃,地球科學資訊,環境地球科學,藝術史,文化研究,天文,財務工程,英文MBA,創意,電子商務(EC),華語文教學,世界文明史,永續企業管理(原綠色企業管理),創意與創業,統計,氣候變遷調適,商業智慧與分析,認知神經科學,巨量資料分析,社會企業,跨領域社會參與,人工智慧與資訊安全,敘事與數位實踐,太空科技與工程,國際事務,人工智慧跨域應用(理),人工智慧跨域應用(文),積體電路與半導體國際,人工智慧國際,金融科技,跨領域榮譽學分學程,社會企業與社會創新,系(所)總合
中國文學系,7,2,6,2,,,13,,,,,2,3,10,1,,1,,,2,,,,3,,2,,4,,5,,,,,,63
英美語文學系,8,9,3,1,,,4,,,,,,10,4,,,2,,,,,,,,,,,,,2,,,,1,,44
法國語文學系,4,17,5,3,,,12,,,,,1,2,10,,,,,,,,,,4,,1,,3,,3,,,,,,65
文學院學士班,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,3
法國語文學系碩士班,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1
學習與教學研究所碩士班,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1
哲學研究所博士班,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1
數學系,,6,2,,,,,,,,,,,,,,,5,,,,,,,6,,,,7,,,,1,,,27
物理學系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,2
化學學系,,,,,,,,,,,,,,,,,2,,,,,,,1,1,,,,,,,,,,,4
光電科學與工程學系,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,3
理學院學士班,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,2,,,,,,,5
數學系碩士班,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
統計研究所碩士班,,,,,,,,,,3,,,,,,,,,,,,13,,,,,,,,,,,,,,16
土木工程學系,1,3,,,,,1,,,,,,,,,,2,,,,,,,3,,,1,,53,,,,,,,64
機械工程學系,1,3,,,,,,,,,,,,,,,,,,,,,,2,3,,3,,28,,,,,,,40
化學工程與材料工程學系,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2
工學院學士班,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,42
土木工程學系碩士班,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,2
化學工程與材料工程學系博士班,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
企業管理學系,,19,44,107,,,1,,,,,,49,,,,3,1,,17,,,,1,,2,,6,,22,,,1,,8,281
資訊管理學系,,9,7,21,,,,,,,,,20,,,,2,,,6,,,,2,4,1,,,,6,,1,2,,,81
財務金融學系,,1,57,1,,,,,,,,,3,,,,1,,,3,,,,1,,,,,,8,,,4,,,79
經濟學系,1,18,26,5,,,,,,2,,,5,,,,1,1,,3,,,,,,,,,,,,,,,,62
企業管理學系碩士班,,,,47,,,,,,,5,,,,,1,,,,16,,,,,,,,,,,,,,,,69
資訊管理學系碩士班,,,,5,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,12
產業經濟研究所碩士班,,,,1,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,4
工業管理研究所碩士班,,,,7,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,9
