112學年度第一學期「雙主修」申請人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
"          申請雙主修別
所屬系所",中文,英文,法文,文院學士班,數學,物理,化學,光電,理院學士班,土木,機械,化材,工院學士班,企管,資管,財金,經濟,電機,資工,通訊,資電學士班,大科,地科,地科學士班,太空,客社,生科,生醫,系(所)總合
中國文學系,,,4,,,,,,,,,,,,1,,4,,,,,,,,,,,,9
英美語文學系,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,3
法國語文學系,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,4
文學院學士班,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1
數學系,,,,,,,,,,,,,,,,4,,,1,,,,,,,,,,5
光電科學與工程學系,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1
土木工程學系,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,2
機械工程學系,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,2
工學院學士班,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,3
企業管理學系,,,,,,,,,,,,,,,4,6,1,,1,1,,,,,,,,,13
資訊管理學系,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,5
財務金融學系,,,,,,,,,,,,,,,1,,1,,,1,,,,,,,,,3
經濟學系,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,5
通訊工程學系,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1
大氣科學學系,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,3
地球科學學院學士班,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
客家語文暨社會科學學系,,,,,,,,,,,,,,,2,2,5,,,,,,,,,,,,9
生醫科學與工程學系,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1
總合,,,4,,1,,,,,,1,,,,10,20,17,7,7,2,,,,,1,,,1,71
