110學年度第二學期「學分學程」取得人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40
,企業管理,財務金融,會計,企業資源規劃,地球科學資訊,環境地球科學,藝術史(110一退場),文化研究,天文,財務工程,英文MBA,創意,電子商務(EC),華語文教學,世界文明史,永續企業管理(原綠色企業管理),創意與創業,統計,氣候變遷調適,商業智慧與分析,認知神經科學,巨量資料分析,社會企業,跨領域社會參與,人工智慧與資訊安全,敘事與數位實踐,太空科技與工程,國際事務,人工智慧跨域應用(理),人工智慧跨域應用(文),積體電路與半導體國際,人工智慧國際,金融科技,跨領域榮譽學分學程,社會企業與社會創新,量子技術,智慧製造,影響力衡量與管理,生科職涯,系(所)總合
中國文學系,,,,1,,,,,,,,,,3,,,,,,1,,,,,,,,,,,,,,,,,,,,5
英美語文學系,,,1,1,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,5
法國語文學系,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
統計研究所碩士班,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
土木工程學系,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,3
工學院學士班,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,18
企業管理學系,,,12,27,,,,,,,,,11,,,,,,,2,,,,,,1,,,,2,,,,,,,,,,55
資訊管理學系,,,2,5,,,,,,,,,8,,,,1,,,2,,,,,,,,,,,,,5,,,,,,,23
財務金融學系,,,30,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31
經濟學系,,1,7,1,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,14
企業管理學系碩士班,,,,12,,,,,,,2,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,24
產業經濟研究所碩士班,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
財務金融學系碩士班,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2
經濟學系碩士班,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,3
會計研究所碩士班,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
工業管理研究所碩士在職專班,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
企業管理學系博士班,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
電機工程學系,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
資訊工程學系,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,3
通訊工程學系,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
資訊電機學院學士班,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,22
大氣科學學系,,,,,16,22,,,2,,,,,,,,,,12,,,,,,,,3,,,,,,,,,,,,,55
地球科學學系,,,,,21,2,,,1,,,,,,,,,,2,,,,,,,,,,3,,,,,,,,,,,29
客家語文暨社會科學學系,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,3
總合,1,3,52,62,37,24,4,,3,3,2,,20,3,,,26,,14,27,,,,20,,1,3,,5,2,,,5,,1,,,,,318
