1071「輔系(在學)」修習人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
"              輔系
 所屬系所",中文,英文,法文,數學,物理,化學,光電,理院學士班,土木,機械,化材,工院學士班,企管,資管,財金,經濟,電機,資工,通訊,資電學士班,大科,地科,客社,生科,生醫,系(所)總合
中國文學系,1,3,1,,,,,,,,,,,,1,1,,,,,,,,1,1,9
英美語文學系,,,2,,,,,,,,,,1,,10,8,,,,,,,,1,,22
法國語文學系,1,4,,,,,,,,,1,,,1,1,5,,,,,,,,1,,14
數學系,,,,,2,,,,,1,,,,,2,1,,1,,,,,,1,,8
物理學系,,,,2,1,,,,,,,,,,,,2,,,,,,,1,,6
化學學系,,,,,,,,,,,1,,,,,,,,,,,,,,,1
土木工程學系,,,,,,,,,,1,1,,,,1,,2,,,,,,,,,5
機械工程學系,,,,,,,,,,,,,,,,,3,1,,,1,,,,1,6
化學工程與材料工程學系,,,,,,,,,,,1,,,,,,,,,,,,,,,1
企業管理學系,,,,,,,,,,1,1,,,1,23,4,,,,,1,,,,,31
資訊管理學系,,,,,,,,,,,,,,,2,,1,1,,,,,,,,4
財務金融學系,,,,,,,,,,,,,,5,,,,,,,,,,,,5
經濟學系,,1,,1,,,,,,,,,,2,8,1,,,,,,,,,,13
電機工程學系,,,,,,,,,,1,,,,,1,,,,,,,,,,,2
資訊工程學系,,,,,,,,,,1,,,,1,,,1,,,,,,,,1,4
通訊工程學系,,,,,,,,,,,,,,,,,3,2,,,,,,,,5
大氣科學學系,,,,,8,,,,,1,,,,1,,,5,,,,2,2,,,,19
地球科學學系,,,,,,1,,,,,,,,,1,,,,,,4,,,,,6
客家語文暨社會科學學系,,,1,,,,,,,,,,,,1,,,,,,,,,2,,4
生命科學系,,,,,,1,,,,,1,,,,,,1,,,,,,,,,3
生醫科學與工程學系,,,,,,,,,,,6,,,,,,,,,,,,,1,,7
總合,2,8,4,3,11,2,,,,6,12,,1,11,51,20,18,5,,,8,2,,8,3,175
