971「學分學程(在學)」修習人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
,企業管理,財務金融,會計,資訊管理,半導體,材料,環境與工業安全,機械設計,工程管理,橋樑工程,水土保持,生物資訊,企業資源規劃,光電,工程防災,軟體工程,積體電路設計,地球科學資訊,環境地球科學,藝術史,文化研究,環境生物化學,天文,都市環境,財務工程,英文MBA,防災科技,奈米科技,創意,通訊工程,無線電工程,應用倫理學,電子商務(EC),腦科學與數位學習科技,綠色科技,嵌入式系統,華語文教學,RFID物流與供應鏈,世界文明史,電影與視覺文化,太陽光電與氫能,系(所)總合
中國文學系,2,,,3,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,28,,,,,47
英美語文學系,23,,,,,,,,,,,,1,,,,,,,5,,,,,,,,,,,,,,,,,8,,,,,37
法國語文學系,12,,2,,,,,,,,,,1,,,,,,,9,,,,,,,,,3,,,,,,,,,,,,,27
中國文學系碩士班,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,3,,,,,4
法國語文學系碩士班,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2
數學系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2
物理學系,,,,,,,,,,,,,,3,,,,,,1,,,7,,,,,1,2,,,,,,,,,,,,,14
化學學系,,,,,,3,,,,,,,,,,,,,,,,4,,,,,,1,1,,,,,,,,,,,,,9
生命科學系,1,,,1,,1,,,1,,1,2,,1,1,,,,1,1,,3,1,,,,,1,3,,,1,1,1,,,,,,,,22
光電科學與工程學系,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,2
數學系碩士班,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2
天文研究所碩士班,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1
生物資訊與系統生物研究所博士班,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
土木工程學系,,,,1,,1,,,2,,7,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,14
機械工程學系,1,1,,,,1,,,1,,,,,3,,,1,,,,,,,,,,,9,2,,,,,,,,,,,,,19
化學工程與材料工程學系,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,,,,,,,,,,,,,,4
能源工程研究所碩士班,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
機械工程學系博士班,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5
環境工程研究所博士班,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
企業管理學系,,14,16,3,,,,,,,,,94,,,,1,,,1,,,,,,,,,2,,,,2,,,,,3,,,,136
