095學年度第一學期「專業學程」申請人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
,企業管理,財務金融,會計,資訊管理,半導體,材料,環境與工業安全,機械設計,工程管理,橋樑工程,水土保持,生物資訊,企業資源規劃,光電,工程防災,軟體工程,積體電路設計,地球科學資訊,環境地球科學,藝術史,文化研究,環境生物化學,天文,都市環境,財務工程,英文MBA,防災科技,奈米科技,創意,通訊工程,無線電工程,應用倫理學,電子商務(EC),腦科學與數位學習科技,綠色科技,嵌入式系統,華語文教學,系(所)總合
中國文學系,1,,,1,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,5
英美語文學系,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,3
法國語文學系,1,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,8
英美語文學系碩士班,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
法國語文學系碩士班,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,2
學習與教學研究所碩士班,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2
數學系,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2
物理學系,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
化學學系,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,3
生命科學系,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,,,,,,,,,3
數學系碩士班,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
統計研究所碩士班,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1
土木工程學系,,,,,,,1,,,,1,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,5
機械工程學系,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,3
化學工程與材料工程學系,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,7,,,,,,,,,,9
企業管理學系,,2,5,2,,,,,,,,,11,,,,,,,,,,,,,,,,1,,,,,,,,,21
資訊管理學系,,,,,,,,,,,,,12,,,,,,,1,,,,,,,,,,,,,4,,,,,17
財務金融學系,,,23,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,25
經濟學系,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
企業管理學系碩士班,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,10
資訊管理學系碩士班,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,16
產業經濟研究所碩士班,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1
工業管理研究所碩士班,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,16
財務金融學系碩士班,,,,,,,,,,,,,,,,,,,,,,,,,12,2,,,,,,,,,,,,14
工業管理研究所博士班,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
電機工程學系,,,,,,,,,,,,1,,2,,,16,,,,,,,,,,,,,6,4,,,,,,,29
電機工程學系碩士班,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1
大氣科學學系,,,,,,,,,,,,,,,,,,3,7,,,,,,,,,,,,,,,,,,,10
地球科學學系,,,,,,,,,,,,,,,,,,24,6,,,,,,,,,,,,,,,,,,,30
客家社會文化研究所碩士班,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1
客家政治經濟研究所碩士班,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,4
總合,5,4,29,7,,1,1,,,,1,1,69,4,,,16,27,13,18,2,4,1,1,13,3,,9,3,7,4,,4,,,,,247
